Total_Attention_Cycles,Total_Compute_Cycles,Attention_Percentage,Total_Attention_Memory_Access,Total_Memory_Access,Attention_Memory_Access_Percentage,Model,Model_Size,Embedding_Dimension,Number_of_Heads,Context_Length,Configuration,Non Attention%
40688,2713706,0.015,1093632,87681024,0.0125,GEMMA-2B,N/A,2048,8,256,1-gemma-2b_2048_8_256,0.985
89280,5923898,0.0151,2199552,192620544,0.0114,BITNET-8B,N/A,4096,32,256,2-bitnet-8b_4096_32_256,0.9849
89280,5923898,0.0151,2199552,192620544,0.0114,LLAMA3-8B,N/A,4096,32,256,1-llama3-8b_4096_32_256,0.9849
66960,2865098,0.0234,1649664,92553216,0.0178,LLAMA3-3B,N/A,3072,24,256,1-llama3-3b_3072_24_256,0.9766
70912,2869050,0.0247,1655808,92559360,0.0179,PHI3-3.8B,N/A,3072,32,256,1-phi3-38b_3072_32_256,0.9753000000000001
77424,2750442,0.0281,2181120,88768512,0.0246,GEMMA-2B,N/A,2048,8,512,1-gemma-2b_2048_8_512,0.9719
170688,6005306,0.0284,4386816,194807808,0.0225,LLAMA3-8B,N/A,4096,32,512,1-llama3-8b_4096_32_512,0.9716
170688,6005306,0.0284,4386816,194807808,0.0225,BITNET-8B,N/A,4096,32,512,2-bitnet-8b_4096_32_512,0.9716
52544,1661114,0.0316,1112064,53071872,0.021,LLAMA3-1B,N/A,2048,32,256,1-llama3-1b_2048_32_256,0.9684
128016,2926154,0.0437,3290112,94193664,0.0349,LLAMA3-3B,N/A,3072,24,512,1-llama3-3b_3072_24_512,0.9563
135936,2934074,0.0463,3302400,94205952,0.0351,PHI3-3.8B,N/A,3072,32,512,1-phi3-38b_3072_32_512,0.9537
39408,750346,0.0525,834048,23577600,0.0354,BITNET-0.7B,N/A,1536,24,256,1-bitnet-07b_1536_24_256,0.9475
150896,2823914,0.0534,4356096,90943488,0.0479,GEMMA-2B,N/A,2048,8,1024,1-gemma-2b_2048_8_1024,0.9466
333504,6168122,0.0541,8761344,199182336,0.044,BITNET-8B,N/A,4096,32,1024,2-bitnet-8b_4096_32_1024,0.9459
333504,6168122,0.0541,8761344,199182336,0.044,LLAMA3-8B,N/A,4096,32,1024,1-llama3-8b_4096_32_1024,0.9459
101184,1709754,0.0592,2217984,54177792,0.0409,LLAMA3-1B,N/A,2048,32,512,1-llama3-1b_2048_32_512,0.9408
250128,3048266,0.0821,6571008,97474560,0.0674,LLAMA3-3B,N/A,3072,24,1024,1-llama3-3b_3072_24_1024,0.9178999999999999
265984,3064122,0.0868,6595584,97499136,0.0676,PHI3-3.8B,N/A,3072,32,1024,1-phi3-38b_3072_32_1024,0.9132
75888,786826,0.0964,1663488,24407040,0.0682,BITNET-0.7B,N/A,1536,24,512,1-bitnet-07b_1536_24_512,0.9036
297840,2970858,0.1003,8706048,95293440,0.0914,GEMMA-2B,N/A,2048,8,2048,1-gemma-2b_2048_8_2048,0.8996999999999999
659136,6493754,0.1015,17510400,207931392,0.0842,BITNET-8B,N/A,4096,32,2048,2-bitnet-8b_4096_32_2048,0.8985
659136,6493754,0.1015,17510400,207931392,0.0842,LLAMA3-8B,N/A,4096,32,2048,1-llama3-8b_4096_32_2048,0.8985
198464,1807034,0.1098,4429824,56389632,0.0786,LLAMA3-1B,N/A,2048,32,1024,1-llama3-1b_2048_32_1024,0.8902
494352,3292490,0.1501,13132800,104036352,0.1262,LLAMA3-3B,N/A,3072,24,2048,1-llama3-3b_3072_24_2048,0.8499
526080,3324218,0.1583,13181952,104085504,0.1266,PHI3-3.8B,N/A,3072,32,2048,1-phi3-38b_3072_32_2048,0.8417
148848,859786,0.1731,3322368,26065920,0.1275,BITNET-0.7B,N/A,1536,24,1024,1-bitnet-07b_1536_24_1024,0.8269
591728,3264746,0.1812,17405952,103993344,0.1674,GEMMA-2B,N/A,2048,8,4096,1-gemma-2b_2048_8_4096,0.8188
1310400,7145018,0.1834,35008512,225429504,0.1553,BITNET-8B,N/A,4096,32,4096,2-bitnet-8b_4096_32_4096,0.8166
1310400,7145018,0.1834,35008512,225429504,0.1553,LLAMA3-8B,N/A,4096,32,4096,1-llama3-8b_4096_32_4096,0.8166
